fiyat,il,ilce,emlak_tipi,m2_brut,m2_net,oda,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo,balkon,esyali,kullanim_durumu,site_icerisinde,krediye_uygun,kimden,takas,salon,banyo/oda
273000,istanbul,maltepe,daire,84,68,2,4,yüksek giriş,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
659000,istanbul,beylikdüzü,daire,170,155,3,0,3,8,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
584000,istanbul,zeytinburnu,daire,125,120,3,4,2,3,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.3333333333333333
265000,istanbul,esenyurt,daire,95,90,2,4,2,5,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
295000,istanbul,esenyurt,daire,95,85,2,4,2,4,doğalgaz,1,yok,hayır,mülk sahibi,hayır,evet,emlak ofisinden,evet,1,0.5
1020000,istanbul,başakşehir,daire,124,124,2,0,14,18,merkezi,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
1015000,istanbul,başakşehir,daire,170,120,3,0,24,28,merkezi,2,var,hayır,boş,evet,evet,emlak ofisinden,hayır,1,0.6666666666666666
920000,istanbul,ataşehir,daire,140,120,3,18,4,18,merkezi,2,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
975000,istanbul,başakşehir,daire,171,132,4,0,zemin kat,9,merkezi,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
310000,istanbul,tuzla,daire,105,92,2,2,1,5,doğalgaz,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
880000,istanbul,küçükçekmece,daire,133,100,3,4,12,24,merkezi,2,yok,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
530000,istanbul,maltepe,daire,140,125,3,23,yüksek giriş,4,doğalgaz,2,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
415000,istanbul,küçükçekmece,daire,85,80,2,1,yüksek giriş,4,doğalgaz,1,yok,hayır,kiracılı,hayır,hayır,emlak ofisinden,hayır,1,0.5
730000,istanbul,maltepe,daire,95,85,2,1,3,4,merkezi,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
730000,istanbul,maltepe,daire,95,85,2,1,3,4,merkezi,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
325000,istanbul,ataşehir,daire,80,70,2,3,yüksek giriş,3,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
328000,istanbul,çekmeköy,daire,95,85,2,0,1,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
555000,istanbul,beylikdüzü,daire,140,130,3,23,13,13,merkezi,2,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
