fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
259000,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  110,  100,  1+1,  2,  8,  11,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  40,  evet,  inşaat firmasından,  hayır,  evet 
679000,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  110,  110,  2+1,  0,  3,  6,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
630000,istanbul , ümraniye ,  18 ocak 2021,  satılık daire ,  80,  65,  2+1,  0,  9,  14,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  hayır,  150,  evet,  inşaat firmasından,  evet,  hayır 
572000,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  140,  130,  3+1,  1,  4,  5,  doğalgaz (kombi),  2,  var,  hayır,  kiracılı,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
239999,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  110,  100,  2+1,  0,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
195000,istanbul , esenyurt ,  18 ocak 2021,  satılık daire ,  95,  80,  2+1,  3,  yüksek giriş,  6,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  30,  evet,  inşaat firmasından,  hayır,  evet 
189000,istanbul , esenyurt ,  18 ocak 2021,  satılık daire ,  130,  120,  3+1,  3,  bahçe katı,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
1600000,istanbul , maltepe ,  18 ocak 2021,  satılık daire ,  195,  170,  4+1,  0,  4,  4,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
359000,istanbul , çekmeköy ,  18 ocak 2021,  satılık daire ,  150,  130,  3+1,  1,  çatı katı,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
183000,istanbul , beylikdüzü ,  18 ocak 2021,  satılık daire ,  120,  100,  2+1,  1,  2,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  20,  evet,  inşaat firmasından,  hayır,  evet 
